dataset,n,u_over_n,cand,build_p50_us,build_p99_us,open_p50_us,open_p99_us,ser_bytes,res_bytes,warm_hit_p50_ns,warm_hit_p99_ns,warm_zipf_p50_ns,warm_zipf_p99_ns,warm_miss_p50_ns,warm_miss_p99_ns,batch32_ns_per_op,serial_ns_per_op,coldish_p50_ns,coldish_p99_ns
zipfclust-1k,1000,1145.05,h0_hashmap_sip,36.9,116.6,44.1,44.8,56020,124824,0.0,20.0,0.0,20.0,0.0,20.0,12.20,16.53,90.0,880.0
zipfclust-1k,1000,1145.05,h0f_hashmap_fold,10.0,32.5,18.7,18.7,56020,124816,0.0,9.8,0.0,0.0,0.0,10.0,5.21,11.09,80.0,790.0
zipfclust-1k,1000,1145.05,h1_sorted,1.5,3.2,6.4,6.5,56020,56048,10.0,30.0,10.0,20.0,10.0,20.0,16.63,26.35,80.0,1030.0
zipfclust-1k,1000,1145.05,h3_pef,4.4,7.8,4.6,5.1,49608,49800,80.0,170.0,60.0,160.0,50.0,140.0,91.71,92.03,170.0,1060.0
zipfclust-1k,1000,1145.05,h4_ptrhash,91.0,100.0,98.4,103.3,56020,57177,0.0,0.0,0.0,0.0,0.0,0.0,6.39,12.65,79.8,760.0
zipfclust-1k,1000,1145.05,h5_kbin,29.4,31.6,40.2,40.9,56020,64472,0.0,30.0,0.0,20.0,0.0,20.0,14.96,17.90,80.0,780.0
dense-10k,10000,1.50,h0_hashmap_sip,238.4,574.2,356.8,393.6,560020,1013976,10.0,30.0,10.0,20.0,0.0,20.0,14.77,21.53,180.0,900.0
dense-10k,10000,1.50,h0f_hashmap_fold,124.1,204.9,243.3,305.8,560020,1013968,0.0,20.0,0.0,10.0,0.0,10.0,8.37,16.01,160.0,970.0
dense-10k,10000,1.50,h1_sorted,18.5,40.2,64.3,79.3,560020,560048,20.0,40.0,20.0,40.0,20.0,40.0,29.30,45.43,400.0,1560.0
dense-10k,10000,1.50,h2_bitrank,20.0,35.6,45.8,46.2,481916,482590,0.0,0.0,0.0,0.0,0.0,0.0,4.68,9.53,70.0,640.0
dense-10k,10000,1.50,h3_pef,39.9,51.2,44.3,44.8,483684,484848,90.0,180.0,79.8,170.0,69.8,179.8,107.93,108.48,200.0,1240.0
dense-10k,10000,1.50,h4_ptrhash,744.5,827.1,863.1,878.1,560020,569273,0.0,10.0,0.0,10.0,0.0,0.0,8.17,16.35,140.0,840.0
dense-10k,10000,1.50,h5_kbin,317.9,323.0,435.9,479.6,560020,665432,0.0,40.0,0.0,50.0,0.0,40.0,18.08,24.23,110.0,1240.0
sparse-10k,10000,999.54,h0_hashmap_sip,239.4,609.9,361.0,371.6,560020,1013976,10.0,30.0,10.0,90.0,0.0,20.0,14.88,23.87,180.0,860.0
sparse-10k,10000,999.54,h0f_hashmap_fold,114.1,198.9,222.9,287.8,560020,1013968,0.0,10.0,0.0,10.0,0.0,10.0,6.64,15.89,170.0,870.0
sparse-10k,10000,999.54,h1_sorted,18.9,56.6,65.8,78.2,560020,560048,20.0,40.0,20.0,40.0,20.0,40.0,29.07,45.21,390.0,1490.0
sparse-10k,10000,999.54,h3_pef,46.2,76.3,45.4,53.2,495484,496648,120.0,250.0,80.0,240.0,110.0,240.0,138.29,139.46,300.0,1460.0
sparse-10k,10000,999.54,h4_ptrhash,722.2,737.7,814.7,848.4,560020,569273,0.0,10.0,0.0,9.8,0.0,9.8,8.12,16.70,140.0,830.0
sparse-10k,10000,999.54,h5_kbin,328.6,348.3,475.8,565.6,560020,665432,0.0,50.0,0.0,40.0,0.0,40.0,18.26,24.13,100.0,1220.0
zipfclust-10k,10000,1256.06,h0_hashmap_sip,239.2,588.5,353.5,388.8,560020,1013976,10.0,20.0,10.0,90.0,0.0,20.0,14.45,23.17,180.0,820.0
zipfclust-10k,10000,1256.06,h0f_hashmap_fold,112.5,242.5,221.5,282.9,560020,1013968,0.0,10.0,0.0,10.0,0.0,10.0,6.35,15.53,160.0,890.0
zipfclust-10k,10000,1256.06,h1_sorted,18.4,30.9,63.5,74.1,560020,560048,20.0,39.8,20.0,40.0,20.0,30.0,31.49,44.22,380.0,1410.0
zipfclust-10k,10000,1256.06,h3_pef,46.4,65.4,55.3,61.1,495732,496896,110.0,240.0,89.8,190.0,69.8,150.0,110.75,113.00,260.0,1380.0
zipfclust-10k,10000,1256.06,h4_ptrhash,736.4,841.5,862.3,882.7,560020,569273,0.0,10.0,0.0,9.8,0.0,0.0,8.41,16.62,150.0,840.0
zipfclust-10k,10000,1256.06,h5_kbin,335.3,347.7,437.0,469.4,560020,665432,0.0,50.0,0.0,50.0,0.0,40.0,18.84,23.76,100.0,1160.0
dense-100k,100000,1.50,h0_hashmap_sip,7442.5,10648.8,11514.2,12085.0,5600020,8271192,20.0,40.0,10.0,70.0,0.0,50.0,27.10,27.99,250.0,990.0
dense-100k,100000,1.50,h0f_hashmap_fold,4506.7,4698.3,6590.5,7410.2,5600020,8271184,10.0,80.0,0.0,110.0,0.0,90.0,14.08,29.28,240.0,980.0
dense-100k,100000,1.50,h1_sorted,393.3,2183.9,815.6,936.7,5600020,5600048,90.0,390.0,60.0,250.0,50.0,110.0,84.14,96.38,760.0,2140.0
dense-100k,100000,1.50,h2_bitrank,286.5,2120.0,520.9,565.1,4818788,4824732,0.0,120.0,0.0,70.0,0.0,0.0,16.31,17.94,150.0,710.0
dense-100k,100000,1.50,h3_pef,585.1,2683.4,533.9,624.7,4836311,4846952,110.0,270.0,100.0,240.0,79.8,200.0,135.00,149.12,380.0,1600.0
dense-100k,100000,1.50,h4_ptrhash,8400.9,10523.4,9863.5,10079.7,5600020,5690177,0.0,100.0,0.0,60.0,0.0,10.0,16.41,23.30,200.0,810.0
dense-100k,100000,1.50,h5_kbin,6083.1,9401.5,7390.4,8282.2,5600020,6538840,10.0,110.0,0.0,90.0,10.0,90.0,29.90,40.19,169.8,1670.0
sparse-100k,100000,999.99,h0_hashmap_sip,7526.4,7785.9,11489.9,12319.6,5600020,8271192,20.0,250.0,10.0,110.0,0.0,150.0,29.12,53.01,250.0,1000.0
sparse-100k,100000,999.99,h0f_hashmap_fold,4409.2,5440.6,7418.1,8630.4,5600020,8271184,10.0,150.0,0.0,70.0,0.0,130.0,13.74,25.39,240.0,910.0
sparse-100k,100000,999.99,h1_sorted,361.8,482.1,863.7,962.7,5600020,5600048,80.0,380.0,50.0,150.0,50.0,90.0,67.37,87.11,790.0,2280.0
sparse-100k,100000,999.99,h3_pef,857.3,946.3,505.7,527.9,4954279,4964920,180.0,490.0,110.0,330.0,130.0,260.0,171.22,170.78,500.0,1880.0
sparse-100k,100000,999.99,h4_ptrhash,8619.0,9498.3,12800.5,19257.8,5600020,5690177,0.0,20.0,0.0,10.0,0.0,10.0,15.25,23.27,240.0,1120.0
sparse-100k,100000,999.99,h5_kbin,4783.4,5360.3,7594.2,8757.0,5600020,6538840,10.0,90.0,0.0,80.0,10.0,80.0,27.68,34.31,170.0,1690.0
zipfclust-100k,100000,1137.81,h0_hashmap_sip,6865.9,7581.5,10064.9,10444.5,5600020,8271192,20.0,260.0,10.0,150.0,0.0,100.0,41.60,30.94,250.0,960.0
zipfclust-100k,100000,1137.81,h0f_hashmap_fold,4152.9,5352.1,6901.3,7546.5,5600020,8271184,10.0,210.0,0.0,100.0,0.0,130.0,14.76,24.68,240.0,1000.0
zipfclust-100k,100000,1137.81,h1_sorted,467.4,514.8,814.1,987.6,5600020,5600048,60.0,290.0,50.0,210.0,50.0,100.0,74.55,107.82,760.0,2220.0
zipfclust-100k,100000,1137.81,h3_pef,575.5,649.5,744.5,939.9,4954999,4965640,119.8,220.0,90.0,200.0,80.0,180.0,144.58,135.39,440.0,1720.0
zipfclust-100k,100000,1137.81,h4_ptrhash,8394.6,8480.1,9712.6,9883.9,5600020,5690177,0.0,150.0,0.0,69.8,0.0,19.8,18.03,23.58,210.0,910.0
zipfclust-100k,100000,1137.81,h5_kbin,5956.9,6452.6,7003.5,8387.5,5600020,6538840,10.0,140.0,0.0,120.0,10.0,90.0,29.51,37.13,170.0,1660.0
dense-1m,1000000,1.50,h0_hashmap_sip,170473.1,171503.3,225863.8,228353.0,56000020,127537752,100.0,440.0,10.0,240.0,10.0,120.0,65.99,110.76,320.0,1060.0
dense-1m,1000000,1.50,h0f_hashmap_fold,119976.2,121914.0,156996.6,159615.1,56000020,127537744,90.0,420.0,9.8,380.0,0.0,220.0,25.50,112.77,310.0,1080.0
dense-1m,1000000,1.50,h1_sorted,26929.5,27137.2,29629.9,29900.6,56000020,56000048,180.0,619.8,110.0,450.0,100.0,360.0,142.86,227.82,1239.8,3240.0
dense-1m,1000000,1.50,h2_bitrank,23229.1,23374.0,27439.8,27700.4,48187540,48246220,70.0,350.0,0.0,189.8,0.0,0.0,23.18,62.01,160.0,770.0
dense-1m,1000000,1.50,h3_pef,29310.3,29402.6,27411.0,27890.3,48362611,48468184,180.0,490.0,120.0,330.0,90.0,220.0,188.42,213.03,570.0,2030.0
dense-1m,1000000,1.50,h4_ptrhash,130945.7,131979.4,172762.8,173756.5,56000020,56899273,80.0,410.0,10.0,290.0,20.0,290.0,32.72,106.27,290.0,1040.0
dense-1m,1000000,1.50,h5_kbin,160046.7,160333.2,186802.7,199256.1,56000020,64470104,80.0,600.0,10.0,390.0,79.8,450.0,98.23,147.08,200.0,2570.0
sparse-1m,1000000,1000.00,h0_hashmap_sip,169087.9,169199.3,215160.2,216464.9,56000020,127537752,100.0,430.0,10.0,260.0,10.0,150.0,62.64,105.08,330.0,1160.0
sparse-1m,1000000,1000.00,h0f_hashmap_fold,112032.2,114921.3,148496.3,149892.5,56000020,127537744,99.8,430.0,0.0,220.0,0.0,110.0,32.37,89.93,320.0,1130.0
sparse-1m,1000000,1000.00,h1_sorted,9780.3,25270.1,13166.2,29110.7,56000020,56000048,170.0,670.0,109.8,420.0,110.0,620.0,161.82,273.80,1189.8,2850.0
sparse-1m,1000000,1000.00,h3_pef,13878.6,28959.1,10846.5,26976.9,49542123,49647696,250.0,660.0,150.0,530.0,160.0,380.0,235.71,254.39,800.0,2420.0
sparse-1m,1000000,1000.00,h4_ptrhash,115132.2,129762.6,148758.5,149472.7,56000020,56899273,100.0,460.0,20.0,330.0,70.0,340.0,31.80,107.99,270.0,960.0
sparse-1m,1000000,1000.00,h5_kbin,152950.4,157028.2,196303.4,198292.6,56000020,64470104,80.0,460.0,10.0,339.8,70.0,370.0,77.38,149.00,190.0,2600.0
zipfclust-1m,1000000,1163.97,h0_hashmap_sip,164279.1,165187.3,219669.2,224398.1,56000020,127537752,100.0,430.0,10.0,290.0,10.0,160.0,65.88,108.86,320.0,1060.0
zipfclust-1m,1000000,1163.97,h0f_hashmap_fold,113550.7,115657.0,155640.8,162471.3,56000020,127537744,90.0,420.0,0.0,250.0,0.0,179.8,27.69,113.71,310.0,1040.0
zipfclust-1m,1000000,1163.97,h1_sorted,25650.5,27085.5,29794.1,30395.5,56000020,56000048,190.0,700.0,110.0,600.0,110.0,370.0,138.14,215.69,1240.0,2920.0
zipfclust-1m,1000000,1163.97,h3_pef,29139.1,29141.4,27245.7,27631.4,49552987,49658560,220.0,580.0,130.0,420.0,90.0,260.0,219.11,241.70,720.0,2410.0
zipfclust-1m,1000000,1163.97,h4_ptrhash,131054.7,131841.5,174171.3,174225.3,56000020,56899273,100.0,480.0,20.0,360.0,20.0,340.0,42.39,113.98,280.0,1000.0
zipfclust-1m,1000000,1163.97,h5_kbin,153929.8,155841.6,166571.3,175821.9,56000020,64470104,80.0,550.0,10.0,410.0,80.0,430.0,87.85,163.91,209.8,2640.0
dense-10m,10000000,1.50,h0_hashmap_sip,2245970.3,2245970.3,3022310.9,3022310.9,560000020,1036301400,190.0,620.0,20.0,530.0,80.0,410.0,123.98,195.58,410.0,1179.8
dense-10m,10000000,1.50,h0f_hashmap_fold,1570878.9,1570878.9,2066363.3,2066363.3,560000020,1036301392,170.0,540.0,10.0,460.0,70.0,400.0,59.20,183.26,390.0,1180.0
dense-10m,10000000,1.50,h1_sorted,296078.3,296078.3,316937.5,316937.5,560000020,560000048,690.0,1630.0,220.0,1290.0,470.0,1269.8,586.73,746.47,1920.0,4140.0
dense-10m,10000000,1.50,h2_bitrank,238649.9,238649.9,261634.3,261634.3,481875036,482461058,80.0,400.0,0.0,280.0,0.0,60.0,30.93,119.43,230.0,850.0
dense-10m,10000000,1.50,h3_pef,325308.4,325308.4,264182.1,264182.1,483625527,484680312,249.8,590.0,150.0,440.0,130.0,370.0,252.19,307.68,1050.0,2740.0
dense-10m,10000000,1.50,h4_ptrhash,2534396.0,2534396.0,2960472.6,2960472.6,560000020,568990177,110.0,470.0,30.0,380.0,99.8,430.0,43.58,149.22,360.0,1140.0
dense-10m,10000000,1.50,h5_kbin,2364691.8,2364691.8,2480164.3,2480164.3,560000020,637360216,90.0,1010.0,20.0,640.0,90.0,790.0,129.39,207.21,230.0,3390.0
sparse-10m,10000000,1000.00,h0_hashmap_sip,2164972.7,2164972.7,2901605.3,2901605.3,560000020,1036301400,180.0,569.8,20.0,450.0,70.0,399.8,106.84,190.76,400.0,1310.0
sparse-10m,10000000,1000.00,h0f_hashmap_fold,1499118.2,1499118.2,2024009.1,2024009.1,560000020,1036301392,200.0,630.0,19.8,550.0,70.0,420.0,63.64,205.18,399.8,1080.0
sparse-10m,10000000,1000.00,h1_sorted,104547.6,104547.6,139736.3,139736.3,560000020,560000048,720.0,1620.0,230.0,1310.0,560.0,1450.0,588.02,777.17,2020.0,4379.8
sparse-10m,10000000,1000.00,h3_pef,142459.3,142459.3,101098.2,101098.2,495420783,496475568,380.0,850.0,220.0,770.0,250.0,680.0,356.65,358.33,1260.0,3100.0
sparse-10m,10000000,1000.00,h4_ptrhash,2374045.6,2374045.6,2657470.9,2657470.9,560000020,568990177,130.0,500.0,30.0,390.0,99.8,420.0,52.91,152.51,350.0,1080.0
sparse-10m,10000000,1000.00,h5_kbin,2006772.4,2006772.4,2483543.8,2483543.8,560000020,637360216,100.0,970.0,30.0,580.0,90.0,790.0,122.28,203.88,240.0,3440.0
zipfclust-10m,10000000,1183.09,h0_hashmap_sip,2110822.7,2110822.7,3000802.0,3000802.0,560000020,1036301400,180.0,580.0,20.0,430.0,80.0,430.0,112.26,192.08,409.8,1190.0
zipfclust-10m,10000000,1183.09,h0f_hashmap_fold,1495742.8,1495742.8,2030793.8,2030793.8,560000020,1036301392,170.0,549.8,10.0,450.0,70.0,390.0,46.39,174.73,400.0,1160.0
zipfclust-10m,10000000,1183.09,h1_sorted,264628.7,264628.7,302369.8,302369.8,560000020,560000048,740.0,1590.0,260.0,1360.0,620.0,1370.0,604.02,788.61,1930.0,4020.0
zipfclust-10m,10000000,1183.09,h3_pef,306496.5,306496.5,278395.5,278395.5,495559287,496614072,350.0,780.0,190.0,580.0,130.0,360.0,310.94,380.04,1210.0,3010.0
zipfclust-10m,10000000,1183.09,h4_ptrhash,2450398.8,2450398.8,2835418.9,2835418.9,560000020,568990177,110.0,480.0,30.0,389.8,100.0,430.0,51.71,153.30,350.0,1050.0
zipfclust-10m,10000000,1183.09,h5_kbin,2289310.1,2289310.1,2688267.8,2688267.8,560000020,652040280,100.0,1150.0,70.0,740.0,90.0,860.0,128.76,208.23,230.0,3320.0
dense-30m,30000000,1.50,h0_hashmap_sip,8527226.0,8527226.0,10975673.9,10975673.9,1680000020,4065205336,250.0,680.0,30.0,560.0,80.0,430.0,148.80,241.92,420.0,1190.0
dense-30m,30000000,1.50,h0f_hashmap_fold,5817885.4,5817885.4,7555423.8,7555423.8,1680000020,4065205328,240.0,649.8,20.0,540.0,80.0,420.0,75.24,230.74,400.0,1280.0
dense-30m,30000000,1.50,h1_sorted,830827.1,830827.1,885688.6,885688.6,1680000020,1680000048,939.8,2100.0,339.8,2030.0,740.0,2040.0,754.07,1002.17,2409.8,5430.0
dense-30m,30000000,1.50,h2_bitrank,663466.9,663466.9,742498.0,742498.0,1445625036,1447382934,99.8,480.0,10.0,400.0,0.0,270.0,57.16,184.92,270.0,940.0
dense-30m,30000000,1.50,h3_pef,957208.8,957208.8,757792.5,757792.5,1450876512,1454040672,420.0,920.0,240.0,740.0,220.0,639.8,362.57,398.06,1330.0,3190.0
dense-30m,30000000,1.50,h4_ptrhash,8687021.0,8687021.0,10087395.4,10087395.4,1680000020,1706969963,170.0,550.0,50.0,470.0,160.0,510.0,71.95,222.53,389.8,1060.0
dense-30m,30000000,1.50,h5_kbin,7609460.3,7609460.3,8834904.6,8834904.6,1680000020,1941440600,109.8,1260.0,70.0,939.8,90.0,1030.0,143.90,241.30,260.0,4060.0
sparse-30m,30000000,1000.00,h0_hashmap_sip,8433259.9,8433259.9,10833715.2,10833715.2,1680000020,4065205336,240.0,640.0,30.0,590.0,80.0,420.0,146.79,241.03,420.0,1220.0
sparse-30m,30000000,1000.00,h0f_hashmap_fold,5626395.9,5626395.9,7379946.0,7379946.0,1680000020,4065205328,240.0,690.0,20.0,540.0,80.0,440.0,72.69,224.72,410.0,1230.0
sparse-30m,30000000,1000.00,h1_sorted,752917.2,752917.2,809626.2,809626.2,1680000020,1680000048,900.0,1900.0,290.0,1580.0,730.0,1540.0,784.15,1050.45,2310.0,4960.0
sparse-30m,30000000,1000.00,h3_pef,843845.1,843845.1,752524.0,752524.0,1486262008,1489426168,560.0,1100.0,280.0,920.0,320.0,780.0,455.32,501.32,1560.0,3780.0
sparse-30m,30000000,1000.00,h4_ptrhash,8816219.8,8816219.8,9907535.1,9907535.1,1680000020,1706969963,180.0,600.0,90.0,519.8,160.0,520.0,70.09,215.42,380.0,1150.0
sparse-30m,30000000,1000.00,h5_kbin,7632117.1,7632117.1,8839980.6,8839980.6,1680000020,1941440600,100.0,1200.0,70.0,1000.0,90.0,1100.0,139.98,241.04,240.0,3579.8
zipfclust-30m,30000000,1178.87,h0_hashmap_sip,8492690.6,8492690.6,10902960.7,10902960.7,1680000020,4065205336,250.0,670.0,30.0,530.0,90.0,430.0,148.25,248.70,439.8,1220.0
zipfclust-30m,30000000,1178.87,h0f_hashmap_fold,5620419.5,5620419.5,7289313.2,7289313.2,1680000020,4065205328,240.0,670.0,20.0,560.0,80.0,430.0,66.52,233.41,410.0,1220.0
zipfclust-30m,30000000,1178.87,h1_sorted,736862.7,736862.7,803342.6,803342.6,1680000020,1680000048,930.0,1910.0,300.0,1690.0,730.0,1540.0,769.58,983.86,2320.0,5240.0
zipfclust-30m,30000000,1178.87,h3_pef,844116.9,844116.9,753587.0,753587.0,1486656456,1489820616,510.0,1110.0,260.0,900.0,270.0,690.0,456.60,503.01,1490.0,3430.0
zipfclust-30m,30000000,1178.87,h4_ptrhash,8430780.1,8430780.1,9624154.4,9624154.4,1680000020,1706969963,170.0,590.0,70.0,470.0,160.0,520.0,72.16,239.88,380.0,1260.0
zipfclust-30m,30000000,1178.87,h5_kbin,7569866.9,7569866.9,8932208.4,8932208.4,1680000020,1941440600,100.0,1210.0,70.0,890.0,90.0,1060.0,145.49,257.61,260.0,4000.0
